relationship_id,citation_key,mechanism,predictor,predictor_value,predictor_range,predictor_unit,response,response_value,response_unit,response_uncertainty,relationship_type,effect_direction,model_or_value,species,life_stage,fish_size,acclimation,structure_type,structure_detail,operating_point,geometry,n,exposure_pathway,outcome_timing,source_location,extraction_method,digitized_points_file,confidence,notes
Brown2009_r01,Brown2009,barotrauma,nadir_p,,8.2-19.2,kPa,mortality;injury,,%,,threshold,increases,barotrauma injury & mortality at turbine nadir 8.2-19.2 kPa,Chinook salmon (Oncorhynchus tshawytscha),juvenile,,depth-acclimated (varied),Kaplan (simulated),,,,,lab,immediate+latent_48h,Methods/Results p.6,reported,,Mined,mortal-injury endpoint per McKinstry metric; 48-h holding
Brown2009_r02,Brown2009,barotrauma,rpc_AN,,,ratio_PA/PN,injury_hemorrhage,88-93,%,,point,increases,caudal-vein rupture hemorrhage in 88% yearling / 93% subyearling,Chinook salmon (Oncorhynchus tshawytscha),juvenile,,depth-acclimated,Kaplan (simulated),,,,25-41,lab,immediate,Results p.9,reported,,Mined,histology; RPC = acclimation/nadir convention
Brown2012_r01,Brown2012,barotrauma,lrp,,,ln(PA/PN),injury_mortal,,probability,,curve,increases,probability of mortal injury rises with LRP (logistic) -> EQ Pflugrath/McKinstry,Chinook salmon (Oncorhynchus tshawytscha),juvenile,95-165 mm,depth-acclimated,Kaplan (simulated),MABL chamber,,,,lab,immediate+latent,Fig 3 p.7,reported,,Mined,mortal-injury logistic now captured exactly in dose_response_models.csv (PNNL BRM Table 12; Carlson 2012) - no digitization needed
Pflugrath2018_r01,Pflugrath2018,barotrauma,lrp,,,ln(PA/PN),injury_mortal,,probability,,curve,increases,P(mortal injury) increases with ln(RPC); logistic per species -> equations.csv,Australian bass (Macquaria novemaculeata),juvenile,,depth-acclimated,weir/dam (simulated),,,,,lab,immediate,Fig 3 p.6,reported,,Mined,per-species logistic coefficients in dose_response_models.csv (PNNL BRM / Pflugrath 2018 Table 4); curve computed analytically
Pflugrath2018_r02,Pflugrath2018,barotrauma,lrp,,,ln(PA/PN),injury,,probability,,curve,increases,P(injury) increases with ln(RPC); logistic per species,carp gudgeon (Hypseleotris spp.);Murray cod (Maccullochella peelii);silver perch (Bidyanus bidyanus),juvenile,,depth-acclimated,weir/dam (simulated),,,,,lab,immediate,Fig 2 p.5,reported,,Mined,per-species logistic coefficients in dose_response_models.csv (PNNL BRM / Pflugrath 2018 Table 4); curve computed analytically
Pflugrath2018_r03,Pflugrath2018,barotrauma,structure_type,,,categorical,injury_swimbladder_rupture,,,,categorical,nonmonotonic,silver perch has a LOWER swim-bladder-rupture threshold than Murray cod,silver perch (Bidyanus bidyanus);Murray cod (Maccullochella peelii),juvenile,,depth-acclimated,weir/dam (simulated),,,,,lab,immediate,Discussion p.? ,reported,,Mined,species susceptibility comparison (physoclists)
Pflugrath2018_r04,Pflugrath2018,barotrauma,rpc_AN,2.0,,ratio_PA/PN,mortality,50,%,,threshold,increases,Chinook mortality reported at RPC ~2 (= 50% pressure reduction),Chinook salmon (Oncorhynchus tshawytscha),juvenile,,depth-acclimated,turbine (simulated),,,,,lab,immediate,Intro p.1,reported,,Mined,cites Brown et al.; RPC = acclimation/nadir
Boys2016_r01,Boys2016,barotrauma,rpc_EA,0.4,,ratio_PN/PA,injury_hemorrhage,,,,threshold,increases,larval haemorrhage increases significantly once RPC(E/A) falls below ~0.4,silver perch (Bidyanus bidyanus);golden perch (Macquaria ambigua);Murray cod (Maccullochella peelii),larva,,acclimated,weir/dam (simulated),barometric chamber,,,,lab,immediate,Results/Fig p.4-5,reported,,Mined,INVERSE RPC definition (exposure/acclimation); = pressure falling below 40% of acclimation
Boys2016_r02,Boys2016,barotrauma,rpc_EA,,full range,ratio_PN/PA,hatching_success,,,,categorical,none,egg hatching success UNAFFECTED by RPC (no dose-response),silver perch (Bidyanus bidyanus);golden perch (Macquaria ambigua),egg,,acclimated,weir/dam (simulated),barometric chamber,,,,lab,latent,Results p.2; Fig 1,reported,,Mined,null result: golden perch chi2=0.001 P=0.993; silver perch P=0.41
Boys2016_r03,Boys2016,barotrauma,rpc_EA,,,ratio_PN/PA,mortality_shortterm,,,,qualitative,none,little evidence that decompression level increased short-term larval mortality,silver perch (Bidyanus bidyanus);golden perch (Macquaria ambigua);Murray cod (Maccullochella peelii),larva,,acclimated,weir/dam (simulated),,,,,lab,latent,Results p.5,reported,,Mined,injury observed but weak link to short-term death
Stephenson2010_r01,Stephenson2010,barotrauma,nadir_p,,,kPa,injury_emboli;injury_swimbladder_rupture;injury_hemorrhage;mortality,,%,,curve,increases,% emboli/rupture/hemorrhage/mortality increase as nadir falls; deviance: nadir ~15-23%,Chinook salmon (Oncorhynchus tshawytscha),juvenile,,neutral & negative buoyancy,Kaplan (simulated),MABL chamber,,,,lab,immediate,Fig 3; Table 1 p.4-5,digitized_figure,,Mined,nadir + buoyancy main effects; buoyancy ~6% deviance
Stephenson2010_r02,Stephenson2010,barotrauma,swimbladder,,,categorical,injury;mortality,,,,categorical,increases,negatively buoyant fish injured more than neutrally buoyant at same nadir,Chinook salmon (Oncorhynchus tshawytscha),juvenile,,neutral vs negative buoyancy,Kaplan (simulated),,,,,lab,immediate,Table 1 p.5,reported,,Mined,buoyancy state modifies barotrauma susceptibility
Pflugrath2012_r01,Pflugrath2012,barotrauma,accl_depth,,,m,buoyancy_max_neutral_depth,,m,,threshold,nonmonotonic,a maximum neutral-buoyancy depth exists; beyond it fish are negatively buoyant,Chinook salmon (Oncorhynchus tshawytscha),juvenile,,,n/a,,,,,lab,n/a,Results/Methods,reported,,Mined,exact MNBD value to verify from paper; sets the worst-case acclimation for barotrauma
Colotelo2012_r01,Colotelo2012,barotrauma,accl_p,146.2,,kPa,injury;mortality,low,,,point,none,physostome lamprey ammocoetes highly tolerant of rapid decompression (minimal barotrauma),western brook lamprey (Lampetra richardsoni);Pacific lamprey (Entosphenus tridentatus),larva_ammocoete,80-124 mm,4.6 m (146.2 kPa),turbine (simulated),hyper/hypobaric chamber,,,15-20,lab,immediate,Methods p.? ,reported,,Mined,physostome tolerance contrasts physoclist sensitivity
XCUT_r01,Colotelo2012;Boys2016;Brown2012,barotrauma,swimbladder,,,categorical,injury;mortality,,,,categorical,decreases,physostomes (lamprey/eel/some cyprinids) markedly more barotrauma-tolerant than physoclists (salmonids/perch),multiple,mixed,,,,,,,,lab,immediate,cross-study,reported,,Mined,cross-cutting susceptibility axis; physostome vs physoclist
Carlson2012_r01,Carlson2012,barotrauma,lrp,,,ln(PA/PN),mortality_mortal_injury,,probability,,equation,increases,"logistic in LRP + tag burden; coeffs b0=-5.997, b1(LRP)=4.201, b2(TB%)=0.603 -> equations.csv",Chinook salmon (Oncorhynchus tshawytscha),juvenile,,depth-acclimated,Kaplan (simulated),,,,,,immediate+latent,Eq 1 p.6,reported,,Mined,"worked example: at RPC=2.18, P(mortal injury) 24.3% vs 13.7% by tag burden; exact functional form to verify"
Carlson2012_r02,Carlson2012,barotrauma,mass,,,tag_burden_%,mortality,,%,,categorical,increases,higher tag burden increases mortal-injury probability (tag presence inflates apparent mortality),Chinook salmon (Oncorhynchus tshawytscha),juvenile,,depth-acclimated,Kaplan (simulated),,,,,,immediate+latent,Fig 4 p.9,reported,,Mined,management implication for tag-based survival estimates
Abernethy2002_r01,Abernethy2002,barotrauma,tdg,,,% saturation,mortality;injury,,%,,categorical,increases,mortality/injury rise with TDG x acclimation depth x pressure spike,Chinook salmon (Oncorhynchus tshawytscha);bluegill (Lepomis macrochirus),juvenile,,depth-acclimated,Kaplan (modified; simulated),,,,,,immediate+latent,Tables 3.1-3.2 p.18-20,read_from_table,,Mined,multi-factor barotrauma + gas-supersaturation dose tables (two species)
Abernethy2003_r01,Abernethy2003,barotrauma,accl_depth,,,m,injury,26,%,,point,increases,surface-acclimated control injury ~26%; injury rises with acclimation depth,Chinook salmon (Oncorhynchus tshawytscha),juvenile,,surface to deep,bulb turbine (simulated),,,,,,immediate,Results p.22,reported,,Mined,control-injury baseline; deeper acclimation worse (P=0.004)
Boys2014_r01,Boys2014,barotrauma,rpc_EA,,,ratio_PN/PA,injury;mortality,,,,threshold,increases,"recommended decompression threshold (piecewise RPC, exposure/acclimation)",Murray cod (Maccullochella peelii);silver perch (Bidyanus bidyanus);golden perch (Macquaria ambigua),mixed,,acclimated,hydropower/irrigation (guideline),,,,,,immediate,Recommended thresholds p.73,reported,,Mined,Murray-Darling design guideline; inverse RPC convention
Boys2014_r02,Boys2014,shear,strain_rate,,,s-1,mortality,,%,,threshold,increases,recommended fluid-shear threshold; LS10 = strain rate killing 10% above handling control,Murray cod (Maccullochella peelii);silver perch (Bidyanus bidyanus),mixed,,,hydropower/irrigation (guideline),,,,,,immediate,Recommended thresholds p.74,reported,,Mined,shear metric in a barotrauma-corpus guideline; LS10
Boys2014_r03,Boys2014,shear,strain_rate,,,s-1,mortality,0.8,%,,point,increases,each +1 unit strain rate (1 cm/s/cm) -> +0.8% mortality (silver perch eggs),silver perch (Bidyanus bidyanus),egg,,,hydropower/irrigation,,,,,,immediate,p.62,reported,,Mined,larvae steeper (~7.1% per unit); shear dose slope
Boys2016pw_r01,Boys2016pw,barotrauma,rpc_EA,,,ratio_PN/PA,mortality,,%,,curve,increases,piecewise logistic larval mortality vs RPC (exposure/acclimation),golden perch (Macquaria ambigua);Murray cod (Maccullochella peelii);silver perch (Bidyanus bidyanus),larva,,acclimated,infrastructure (simulated),,,,,,immediate,Table 5 p.37,digitized_figure,,Mined,piecewise-regression threshold paper (2016_Boys); distinct from How-low (Boys2016)
Pflugrath2020_r01,Pflugrath2020,barotrauma,rpc_AN,,,ratio_PA/PN,injury;mortality,,probability,,curve,increases,American shad injury/mortality increase with RPC,American shad (Alosa sapidissima),juvenile,,depth-acclimated,turbine (simulated),,,,,,immediate,Results,reported,,Mined,clupeid; also tested for fluid shear (multi-stressor)
Pflugrath2020_r02,Pflugrath2020,shear,strain_rate,,,s-1,injury,,,,point,increases,juvenile American shad susceptible to fluid shear,American shad (Alosa sapidissima),juvenile,,,turbine (simulated),,,,,,immediate,Results,reported,,Mined,decompression + shear in one study
Doyle2020_r01,Doyle2020,shear,strain_rate,1000,,s-1,survival,-16,%,,point,decreases,at ~1000 s-1 gambusia survival decreased ~16%,Gambusia holbrooki,adult,,,pumped-storage (simulated),,,,,,immediate,Fig 7 p.9,reported,,Mined,gambusia broadly tolerant; odds ratio 0.998
Doyle2022_r01,Doyle2022,barotrauma,life_stage,,,categorical,survival,,probability,,categorical,nonmonotonic,24-h survival differs across egg/larval/juvenile life stages,redfin perch (Perca fluviatilis),mixed,,,pumped-storage (simulated),,,,,,latent_24h,Fig 3 p.8,digitized_figure,,Mined,life-stage susceptibility across five stages
Martinez2025_r01,Martinez2025,barotrauma,pct_bep,,,operating point,nadir_pressure,106,kPa,95% CI 100-112,categorical,nonmonotonic,nadir pressure varies with operating point; lowest mean nadir 106 kPa at Upper 1% deep release,n/a (CFD),n/a,,,Kaplan (CFD),baseline vs IFP fixed-blade runner,Lower1%/Peak/Upper1%,,,,n/a,p.10; Fig 8,reported,,Mined,CFD (Ice Harbor); operating point + release depth set nadir
Martinez2025_r02,Martinez2025,barotrauma,nadir_p,,,kPa,mortality_mortal_injury,,probability,,curve,increases,probability of mortal injury computed from CFD nadir-pressure distributions (BioPA-style),Chinook salmon (Oncorhynchus tshawytscha),juvenile,,,Kaplan (CFD + dose-response),,,,,,immediate,Fig 9 p.14,reported,,Mined,couples CFD exposure to barotrauma dose-response
Martinez2019_r01,Martinez2019,barotrauma,pct_bep,,,operating point,nadir_pressure,,kPa,,categorical,nonmonotonic,nadir-pressure cumulative distributions differ by operating condition and dam,n/a (CFD),n/a,,,Kaplan (CFD),Ice Harbor & others,Lower1%/Upper1%,,,,n/a,Figs 6-10,reported,,Mined,CFD; release depth and operating point modulate nadir
Reckendorfer2020_r01,Reckendorfer2020,barotrauma,nadir_p,,,kPa,injury;mortality,,,,point,increases,pressure (nadir) regime measured in large Kaplan turbines,multiple,mixed,,,Kaplan (large; field),,,,,,immediate,report,reported,,Mined,field pressure measurements in large Kaplans
Pflugrath2019_r01,Pflugrath2019,barotrauma,swimbladder,,,categorical,injury;mortality,,,,categorical,decreases,American eel buoyancy state modulates barotrauma; physostome eel relatively tolerant,American eel (Anguilla rostrata),adult,,,turbine (simulated),,,,,,immediate,Results,reported,,Mined,physostome; state of buoyancy is key predictor
Kerr2023_r01,Kerr2023,barotrauma,rpc_AN,,,ratio_PA/PN,injury;mortality,,,,curve,increases,two Neotropical species injury/mortality increase with rapid decompression,Neotropical fish (2 spp.),juvenile,,depth-acclimated,turbine (simulated),,,,,,immediate,Results,reported,,Mined,broadens beyond salmonids; companion Kerr 2023 critiques static Boyle model
Zitek2026_r01,Zitek2026,barotrauma,swimbladder,,,categorical,mortality_mortal_injury,,%,,categorical,nonmonotonic,barotrauma sensitivity varies with swim-bladder morphology (Cypriniformes two-chambered),Cypriniformes (multiple),larva;juvenile,,,barotrauma chamber,,,,,,immediate,Table 3 p.6,read_from_table,,Mined,per-species logistic b0/b1 in Table 3 -> equations.csv
Zitek2026_r02,Zitek2026,barotrauma,lrp,,,ln(PA/PN),mortality_mortal_injury,,%,,curve,increases,per-species logistic % mortally injured vs pressure ratio,European potamodromous (multiple),larva;juvenile,,,barotrauma chamber,,,,,,immediate,Table 3 p.6,reported,,Mined,params b0/b1 per species; swim-bladder morphology focus
Meng2019_r01,Meng2019,barotrauma,nadir_p,,,kPa,injury,,,,point,increases,crucian carp injury from decompression during simulated turbine passage,crucian carp (Carassius carassius),juvenile,,,turbine (simulated),,,,,,immediate,Results,reported,,Mined,physostome cyprinid; lower reproducibility tier
Beirao2018_r01,Beirao2018,barotrauma,rpc_AN,,,ratio_PA/PN,injury,,,,point,increases,pictus catfish barotrauma from simulated turbine passage,Pictus catfish (Pimelodus pictus),juvenile,,,turbine (simulated),,,,,,immediate,Results,reported,,Mined,benthic siluriform; novel species
Schneider2025_r01,Schneider2025,barotrauma,nadir_p,,,kPa,injury,,,,point,increases,systematic barotrauma assessment for potamodromous European species (chamber),potamodromous European fish (multiple),mixed,,,barotrauma chamber,,,,,,immediate,Results,reported,,Mined,multi-species European chamber study
Brown2016_r01,Brown2016,barotrauma,accl_depth,,,m,injury,,,,point,increases,injury increases with acclimation depth (three-species acclimation study),three species,mixed,,surface to deep,chamber (simulated),,,,,,immediate,Results,reported,,Mined,acclimation-depth dependence across species
