symbol,quantity,unit,mechanism,definition,notes
PA,Acclimation (onset) pressure,kPa,barotrauma,"Ambient absolute pressure the fish is equilibrated to before passage, with its swim-bladder gas in balance. Sets the barotrauma baseline: fish acclimated to deeper, higher-pressure water are injured more for the same nadir.",Canonical pressure unit is kPa
PN,Nadir (exposure) pressure,kPa,barotrauma,"Lowest absolute pressure the fish experiences while passing the runner. The deeper the drop below PA, the more swim-bladder gas expands and the greater the barotrauma injury and mortality.",
VA,Gas volume at acclimation,relative,barotrauma,Volume of free gas (mainly the swim bladder) at acclimation pressure PA - the reference volume for Boyle's-law expansion. A larger starting gas volume means more expansion and damage on decompression.,Pairs with VN in Boyle's law
VN,Gas volume at nadir,relative,barotrauma,"Expanded free-gas volume at the nadir pressure PN. By Boyle's law VN/VA = PA/PN; greater expansion drives swim-bladder rupture, gas emboli and organ damage.",
RPC_AN,Ratio of pressure change (acclimation/nadir),dimensionless,barotrauma,"PA / PN - the primary, transferable barotrauma dose (>= 1). The higher the ratio the more severe the decompression and the higher the probability of (mortal) injury across species.",Brown / Pflugrath convention
RPC_EA,Ratio of pressure change (exposure/acclimation),dimensionless,barotrauma,"PN / PA - the inverse convention (0-1; lower = more severe). The same physical dose as RPC_AN but reciprocal, so the two must never be pooled.",Boys convention; INVERSE of RPC_AN - never pool
LRP,Log ratio of pressure,dimensionless,barotrauma,"ln(PA / PN) - the log-transformed barotrauma dose. Injury/mortality probability rises roughly linearly with LRP, which is why it is the predictor in the logistic dose-response models.",Linearises the dose for logistic injury models
dPdt,Rate of pressure change,kPa/s,barotrauma,"How fast pressure falls as the fish passes the runner. Rapid decompression gives swim-bladder gas no time to vent, raising rupture and embolism risk; slower changes are better tolerated.",
nadir_p,Nadir pressure,kPa,barotrauma,The minimum pressure during passage (= PN); a key measured or CFD-modelled turbine exposure used to predict barotrauma survival.,Pressure -> standardized to kPa
accl_p,Acclimation pressure,kPa,barotrauma,The pressure the fish was held at / equilibrated to (= PA); together with the nadir it defines the barotrauma dose.,Pressure -> standardized to kPa
accl_depth,Acclimation / neutral-buoyancy depth,m,barotrauma,"Water depth the fish has equilibrated its buoyancy to; it sets PA (deeper = higher PA = worse barotrauma). A contested field assumption, since fish may not be neutrally buoyant at the intake depth.","Absolute pressure (kPa) = 101.325 + 9.80665 x depth_m (freshwater); depth kept in m, pressure equivalent noted"
TB,Tag burden,%,all,"Mass of an implanted telemetry tag as a percentage of body mass. Tagging itself raises injury/mortality and inflates apparent passage mortality, so it is a confound to control for and an explicit predictor in some models.",
strain_rate,Fluid strain rate,s^-1,shear,"The velocity gradient a fish meets in shear zones (jets, draft tube, wakes behind racks and blades). High strain rate tears soft tissue - eye, operculum and gill injuries appear first; the main fluid-shear exposure metric.",Distinct from shear stress
shear_stress,Shear stress,Pa,shear,Fluid stress arising from velocity gradients; physically related to but distinct from strain rate (different quantity and units) and must not be conflated with it.,"Kept in Pa (a stress metric, not a barotrauma pressure)"
tdg,Total dissolved gas,% saturation,barotrauma,"Water gas saturation, raised by spill and plunge pools. Supersaturation causes gas-bubble trauma (emboli in fins, gills and vasculature); risk climbs above ~110-120% and depends strongly on fish depth.",
strike_v,Blade strike velocity,m/s,blade strike,Relative impact speed when a fish is struck by a runner blade. Blade-strike injury and mortality rise with strike velocity and fish length; a core input to blade-strike survival models.,
length,Fish total / fork length,mm,all,Body length of the fish. A key susceptibility covariate - larger fish are more likely to be blade-struck and respond differently to barotrauma - and is needed to generalise or compare any result.,
mass,Body mass,g,all,"Body mass of the fish. Used with length for condition factor, for computing tag burden, and as a susceptibility covariate.",
pct_bep,Operating point,% of best efficiency,all,"How far the turbine runs from its best-efficiency (smoothest-flow) point. Off-peak operation generally deepens the pressure nadir and raises shear and strike, so survival is operating-point dependent - operational changes are often the cheapest survival gains.",
head,Hydraulic head,m,all,"The water-level drop driving the turbine. Higher head means larger pressure changes and faster flow, generally increasing barotrauma and strike risk (high-head Francis worse than low-head Kaplan).",
discharge,Flow rate (Q),m^3/s,all,"Volume of water passing per second. With head and runner geometry it sets the velocities, pressures and the share of fish routed through the turbine versus other routes.",
V,Strike velocity,m/s,blade strike,"Relative velocity between a turbine or pump blade leading edge and the fish at the moment of impact -- the primary blade-strike dose. Mortality rises steeply once velocity exceeds a species-specific critical value, and a faster blade strikes a given fish harder.",blade-strike x-axis
L/t,Length-to-thickness ratio,dimensionless,blade strike,"Fish total length divided by the blade leading-edge thickness. For a given strike velocity, a thinner blade relative to the fish (high L/t) concentrates the impact and raises mortality, whereas a thick, blunt edge (low L/t) spreads the load and is more survivable.",blade-strike covariate (Eq 8/9)
S,Strain rate,s-1,shear,"Spatial gradient of water velocity a fish experiences at a shear boundary (dU/dy) -- the fluid-shear dose. High strain rate over-extends and tears the body (descaling, eye and operculum damage, spinal injury) independently of blade contact or pressure change.",fluid-shear x-axis; dy=1.8 cm convention
E50,Median effective strike velocity,m/s,blade strike,"Strike velocity at which a blade-strike biological response model reaches half of its asymptotic (whole-fish) mortality. A compact, comparable index of a species' blade-strike sensitivity: a lower E50 means a more vulnerable fish.",derived from Eq 10 (e)
S50,Median lethal strain rate,s-1,shear,"Strain rate at which a fluid-shear logistic model predicts 50% of the endpoint (injury, major injury or mortality), i.e. -b0/b1. A lower S50 means a more shear-sensitive fish; values beyond the ~1600 s-1 test range are extrapolations.",derived from Eq 14
